"","klasifikasi","score","text"
"44","Positif",1,"selamat memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"45","Positif",1,"selamat memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"46","Positif",1,"haram kat negeri  tp  pi cabut kt negeri  yg  haramkan   mcm   tau benda ni  je dgn konsep panggung wayang    je nak  tgn diorg bersih suci "
"47","Netral",0,"hmetromy tutup wayang pawagan tutup  wayang  pulak "
"48","Netral",0,"nak tengok meletop malam ni    wayang  "
"49","Negatif",-1,"badboy anthonyloke   main wayang  genglain la org tu  citer fasal wayang mat kilauaduiyai"
"50","Negatif",-1,"naratifrakyat    kerja kau marah   kerja kau ckp wayang then kau nak   benak"
"51","Positif",1,"selamat memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"52","Positif",1,"selamat memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"53","Negatif",-1,"salam sejahtera tuanku abdullah ilham  mahu lihat pengkhianat  diperdana menterikan  malaysia  drama wayang sandirawara lakonan "
"54","Netral",0," hadir mendukung ganjar peringati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah "
"55","Negatif",-1,"kismath wayang tengok bola lepas ni"
"56","Netral",0,"memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"57","Positif",1,"selamat memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"58","Netral",0,"najib nak masuk    makan  bertahun same goes to zahid dah muhyiddin so wat lek wat peace je   tengok wayang "
"59","Positif",1,"selamat memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"60","Netral",0," wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar capres ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"61","Netral",0,"memperingati  wayang nasional   ganjar ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar "
"62","Negatif",-5,"myproleaders ni kes main wayang     main wayang tutup  tengok   islam  kat federal yg pas  menteti ugama   tutup usaha tutup   nampak  patah statement je lepas tu senyap   turun oadang merbuk   serius"
"63","Netral",0,"memperingati  wayang nasional   ganjar ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar "
"64","Negatif",-1," lrt thed thadik dah    baca buku   tren  wayang"
"65","Netral",0,"tatakujiyati  wayang  dalang"
"66","Negatif",-1,"  operator jaga machine  wayang  orang yg  last  lepas  dah close benda benda mistik ni   dinafikan   nasib  time filem pengabdi setan ni  dah  keje wayang  tahan scary props nya  "
"67","Negatif",-2," sedekah sekurangkurang nya  jumaat   takut    allah penjamin rezeki bagitau awekpakwe belanja makan wayang asing asing  gelabah nak gentle   gentle kahwin "
"68","Netral",0,"dien nama  wayang "
"69","Netral",0,"memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"70","Netral",0,"memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"71","Netral",0,"memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"72","Netral",0,"ganjar  budaya wayang  dilestarikan ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"73","Netral",0,"wayang  seni budaya nusantara patut   lestarikan   anak cucu   generasi  genarasi  budaya  warisan  leluhur  bangsa  "
"74","Netral",0,"hmmm nak wayang    pc aduii "
"75","Netral",0,"memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"76","Negatif",-2,"naratifrakyat orang  kerja hang  wayang apparaaa "
"77","Netral",0,"sabar jap pipi esok   tengok uncle amato  wayang papa dah beli tiket dah takmau lambatlambat  habis mechamatomovie "
"78","Netral",0,"memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"79","Negatif",-1,"  jawa timur deklarasi komunitas milenial disertai sosialisasi pengendalian hama ramah lingkungan deklarasi komunitas pemuda penggiat seni wayang kulit disertai workshop pembuatan wayang kulit relawan ganjar  beda dukunganuntukganjar "
"80","Netral",0,"dah   sorang pegi  husband  jenis kaki wayang g vacation mkn kt  or shopping skrg anak dh      still dgn anak jebut vacation i cant go without him sejuk mlm xde org nak peluk "
"81","Negatif",-1,"afralabdullah razmanzakaria  kat   utk wayang  pengikut yg kat federal  isi kocek  wayang "
"82","Positif",2,"isusemasaviral actually berkasih sayang  manusia takde  lelaki  lelaki  makan minum gurau wayang  tidur   xpe     batas takda intimate physical interaction takda public display of affection heck even suami isteri dipublic  xsesuai"
"83","Netral",0,"wayang kulit  keraton yogyakarta "
"84","Negatif",-2,"oneplusoneis macaronxiel  ngeri ya ketemu wayang yg  nembak  matiin cctv"
"85","Negatif",-1,"alisyarief  sekedar wayang  dimainkan wayangsemangatnya  membangun  dendam"
"86","Netral",0,"nohhhhh ni   mmg  p wayang kot  "
"87","Netral",0,"oneplusoneis macaronxiel petrus  wayang kn"
"88","Positif",2,"perwujudan negara hukum  berlandaskan pancasila  sistem hukum nasional  harmonis sinergis komprehensif  dinamis  upaya pembangunan hukum jokowi platejohnny kemkominfo "
"89","Netral",0,"ditjen ikp  komisi iii dpr ri  pemerintah kabupaten wonogiri  menggelar kegiatan pertunjukan rakyat sosialisasi ruu kuhp  pagelaran wayang kulit jokowi platejohnny kemkominfo "
"90","Negatif",-1,"kegiatan sosialisasi  dikemas  bentuk hiburan rakyat  lapangan desa nungkulan jaten kabupaten wonogiri jawa   dihadiri  peserta   perwakilan  komunitas mahasiswa  masyarakat  wonogiri kemkominfo "
"91","Negatif",-3,"kelas sebelah berasa gua dengerin pertunjukkan wayang"
"92","Negatif",-1,"ultrasukan pemainke setuju goodluck  tmpt   melayan kerenah wayang kayangan socmed tu fokus dgn karier biar letih sikit takpa jgn diperam"
"93","Netral",0,"handokotjung mo nyekolahin anak  wayang   dokteramien"
"94","Negatif",-1,"mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk sahabatganjar ganjarpranowo ganjar dukunganuntukganjar "
"95","Netral",0,"mrcreepyposta bestlah hantu tu tengok wayang  beli payah q beli tiket   adil"
"96","Negatif",-1,"cindertercela tanyarlfes coba pake obat jerawat cap wayang deh kak baunya emg rempah bgt tp worth bgt"
"97","Netral",0,"kemkominfo sosialisasikan rkuhp pakai wayang  wonogiri ditjen ikp  komisi iii dpr ri  pemerintah kabupaten wonogiri  menggelar kegiatan pertunjukan rakyat sosialisasi ruu kuhp  pagelaran wayang kulit jokowi platejohnny "
"98","Negatif",-1,"itsrasidah kepondok pelita gajauh  bertemu anak  wayang nyaa"
"99","Netral",0,"no tu dah terbiasa  anak kecik  salah sorang kena gilir stay jaga anak  rumah  seorg  settlekan urusan   if i  peluang  i  amik peluang makan dgn tenang shopping dgn tenang amp if babies behave i   tgk wayang lg hihi"
"100","Positif",1,"mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   mari  deklarasikan dukungan  ganjarpranowo  pilpres   kabupaten nganjuk jawa timur jumat desember dukunganuntukganjar "
"101","Netral",0,"rezarazali wayang popcorn  abis dah ni   ker  ni"
"102","Netral",0," rangka mensosialisasikan rkuhp kemkominfo  ditjen ikp  komisi iii dpr ri amp pemerintah kabupaten wonogiri  menggelar kegiatan pertunjukan rakyat sosialisasi ruu kuhp  pagelaran wayang kulit verraagustian exanaklolina "
"103","Positif",1,"mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   mari  deklarasikan dukungan  ganjar pranowo  pilpres   kabupaten nganjuk jawa timur  jumat desember dukunganuntukganjar "
"104","Netral",0," lupa desember  kabupaten nganjuk jawa timur   deklarasi komunitas pemuda penggiat seni wayang kulit dukunganuntukganjar "
"105","Positif",1,"mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   mari  deklarasikan dukungan  ganjarpranowo  pilpres   kabupaten nganjuk jawa timur  jumat desember dukunganuntukganjar "
"106","Positif",1,"milenial indonesia melestarikan budaya  negeri deklarasi komunitas pemuda penggiat seni wayang kulit jumat desember kabupaten nganjuk jawa timur dukunganuntukganjar "
"107","Negatif",-1,"ayo  milenial indonesia  lestarikan budaya  negeri    deklarasi komunitas pemuda penggiat seni wayang kulit   workshop pembuatan wayang kulit dukunganuntukganjar "
"108","Positif",1," yg kepengen belajar wayang kulit bisanih gabung  nganjuk jawa timur  jumat desember dukunganuntukganjar "
"109","Negatif",-2,"yuk  pemuda penggiat seni wayang kulit  lupa hadir ya dukunganuntukganjar "
"110","Netral",0,"wayang   lestarikan dukunganuntukganjar "
"111","Netral",0,"dukung   ganjar pranowo   melestarikan budaya indonesia  melestarikan wayang kulit  kabupaten nganjuk dukunganuntukganjar "
"112","Netral",0,"milenial indonesia  ikutan deh workshop pembuatan wayang kulit loh  menambah ilmu wawasan nih dukunganuntukganjar "
"113","Netral",0,"deklarasi komunitas pemuda penggiat seni wayang kulit bareng ganjar pranowo dukunganuntukganjar "
"114","Negatif",-1,"mari  lestarikan budaya negri kitayuk  intip  pembuatan seni wayang kulit dukunganuntukganjar jumat desember kab ngajuk jawatimur "
"115","Positif",1,"keren banget   workshop pembuatan wayang kulit dukunganuntukganjar "
"116","Netral",0,"rangkaian kegiatan acara milenial indonesia lestarikan budaya  negeri deklarasi komunitas pemuda penggiat seni wayang kulit  workshop pembuatan wayang kulit  nganjuk jawa timur deaember dukunganuntukganjar "
"117","Positif",1,"ihh seru banget  workshop  pembuatan wayang sayang bgt jauhh hshhss pengen ikutan  dukunganuntukganjar "
"118","Positif",1,"mari kembangkan wayang   terlupakan  negeri  dukunganuntukganjar "
"119","Netral",0,"mechamato movie esok dah start kat wayang"
"120","Positif",1,"mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   mari  deklarasikan dukungan  ganjar pranowo  pilpres   kabupaten nganjuk jawa timur  jumat desember dukunganuntukganjar "
"121","Netral",0,"yuk   lestarikan budaya  negeri     nganjuk  nih dateng  workshop pembuatan wayang kulit jumat desember  kab nganjuk jawa timur milenial dukung ganjar dukunganuntukganjar "
"122","Netral",0,"gas yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   kabupaten nganjuk jawa timur  jumat desember dukunganuntukganjar "
"123","Netral",0,"ayok  seimbangkan  budaya     melestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   kabupaten nganjuk jawa timur  jumat desember dukunganuntukganjar "
"124","Negatif",-1," nganjuk tanggal desember  diadakan pembuatan wayang kulit dukunganuntukganjar "
"125","Netral",0,"mari  lestarikan milenial indonesia dg lestarikan budaya unutk negri jumat deswmber dg kegiatan deklarasi komjnikasi pemuda penggiat seni wayang kulit dukunganuntukganjar "
"126","Negatif",-2,"  nganjuk jatim  ganjar adakan acara deklarasi komunitas pemuda pemggiat seni wayang kulit lho jgn lupa ya desember dukunganuntukganjar "
"127","Netral",0,"mari lestarikan budaya indonesia yuk cari tau   wayang kulit  kabupaten nganjuk   kabupaten nganjuk jawa timur  jumat desember yok  lestarikan budaya indonesia dukunganuntukganjar "
"128","Negatif",-2,"lepas settle  kelate  dah  start ikat perut    nak makan sedap as always wayang  no no okieshhhhhh"
"129","Netral",0,"kaum muda milenial indonesia yuk lestarikan budaya  negeri catat tanggalnya jumat desember   workshop pembuatan wayang kulit dukunganuntukganjar "
"130","Netral",0,"lestarikan budaya  negeri ayo sahabat ganjar   kaum milenial ikutan deklarasi komunitas pemuda penggiat seni wayang dukunganuntukganjar "
"131","Negatif",-1,"pengin tau pembuatan wayang kulitayo   acara milenial indonesia  sahabat ganjar lestarikan budaya bangsa dukunganuntukganjar "
"132","Netral",0," pembuatan wayang kulit  nganjuk seru banget sih  mah ayooo dukunganuntukganjar "
"133","Netral",0,"  banget nih tau proses pembuatan wayang kulit  kabupaten nganjuk dukunganuntukganjar "
"134","Negatif",-2,"yokk lestarikan budaya indonesia kepoin  pembuatan wayang kulit  kabupaten nganjuk  jumat desember ya guys dukunganuntukganjar "
"135","Negatif",-1,"  budaya asli indonesia hilang termakan  kerasnya jaman ikutilah workshop pembuatan wayang kulit  kab nganjuk dukunganuntukganjar "
"136","Netral",0,"milenial indonesia  ikutan deh workshop pembuatan wayang kulit loh  menambah ilmu wawasan nih dukunganuntukganjar "
"137","Negatif",-1,"haiii milenial indonesia    lestarikan budaya  negeri nih ayyoo hadiri kegiatan deklarasi komunitas pemuda penggiat seni wayang kulit  workshop pembuatan wayang kulit yg  dilaksanakan  nganjuk nih dukunganuntukganjar "
"138","Negatif",-1,"keempat  kabupaten najuk jumat desember mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit mensosialisasikan pengendalian hama ramah lingkungan   deklarasi dukungan  ganjar pranowo  pilpres dukunganuntukganjar "
"139","Netral",0,"drazmanibrahim wayang jelah kau rakyat nak   yg kau nak  utk selesaikan  rakyat  nak tengok kau  control macho  wartawan   press statement"
"140","Negatif",-1,"mari  lestarikan budaya negri kitayuk  intip  pembuatan seni wayang kulit dukunganuntukganjar jumat desember kab ngajuk jawatimur "
"141","Netral",0,"seni wayang kulit    hilang  indonesia  dukunganuntukganjar "
"142","Positif",1," kegiatan positif  dukunganuntukganjar  nganjuk deklarasi komunitas pemudapenggiat seni wayang "
"143","Negatif",-1,"mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   mari  deklarasikan dukungan  ganjar pranowo  pilpres   terlewatkan ya sahabatganjar ganjaruntukindonesia dukunganuntukganjar "
"144","Netral",0,"deklarasi komunitas pemuda penggiat seni wayang kulit nih    mendukung  ganjar dukunganuntukganjar "
"145","Negatif",-2,"  punah ya   melestarikan budaya seni wayang kulit dukunganuntukganjar "
"146","Netral",0,"milenial indonesia lestarikan budaya  negeri jumat desember kabupaten nganjuk jawa timur rangkaian kegiatan deklarasi komunitas pemuda penggiat seni wayang kulit workshop pembuatan wayang kulit dukunganuntukganjar "
"147","Positif",1,"dukunganuntukganjar mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   mari  deklarasikan dukungan  ganjar pranowo  pilpres   kabupaten nganjuk jawa timur  jumat desember "
"148","Netral",0,"ayoo milenial indonesia   lestarikan budaya  negeri   workshopmari pembuatan wayang kulit lho   kelewatan jumat desember  kabupaten nganjuk jawa timur dukunganuntukganjar "
"149","Netral",0,"mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   kabupaten nganjuk jawa timur  jumat desember dukunganuntukganjar "
"150","Netral",0,"jumat desember  kab nganjuk jawa timur  kegiatan seru  bermanfaat salah satunya workshop pembuatan wayang kulit dukunganuntukganjar "
"151","Netral",0,"yuk  kuta lestarikan budaya indonesia ayo  kepoin pembuatan wayang kulit  kabupaten nganjuk   kabupaten nganjuk jawa timur   jumat desember dukunganuntukganjar "
"152","Netral",0,"komunitas pemuda penggiat seni wayang kulit  kabupaten nganjuk mendeklarasikan    dukunganuntukganjar sepenuhnya "
"153","Netral",0,"keren ya  rangkaian kegiatan  acara deklarasi komunitas pemuda penggiat seni wayang kulit dukunganuntukganjar "
"154","Netral",0,"gaess yuk mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   kabupaten nganjuk jawa timur  jumat desember dukunganuntukganjar "
"155","Netral",0,"guys yuk ikutan milenial indonesia lestarikan budaya  negeri   jumat desember  kabupaten nganjuk jawa timur   deklarasi komunitas pemuda penggiat seni wayang kulit  workshop pembuatan wayang kulit lho dukunganuntukganjar "
"156","Positif",1,"kabupaten nganjuk jawa timur  hadir nihh milenial indonesia lestarikan budaya  negeri  komunitas pemuda penggiat seni wayang kulit dukunganuntukganjar "
"157","Negatif",-1,"budaya  kekayaan indonesia    lestarikan yuk  ikutan acaranya tgl desember    workshop pembuatan wayang kulit jg nih dukunganuntukganjar "
"158","Positif",1,"selamat memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"159","Negatif",-1,"kegblgnunfaedh  dijaman sd  asikasiknya jualan wayang  kelereng hikd"
"160","Positif",1,"tetep mlaku sesuai jalur gusti pengeran sing gawe alur ora  ngawur awake dhewe mung wayang polah sak polah wis diatur dalang selasa hujan "
"161","Negatif",-1,"senin malam giat pengamanan pagelaran wayang kulit  rangka peringatan  wayang nasional   wayang dunia  viii  kabupaten sukoharjo bertempat  terminal tawangsari ditpolpplinmas satpolppjateng sukoharjokab hjetiksuryani "
"162","Netral",0,"bospurwa ngadangu kecap kumaha aing weh  inget si raden blekok samedin dina lalakon wayang panca suta almarhum abah asep sunandar s "
"163","Negatif",-2,"justkyrul dniemrulfkri wayang gila babi mat  puas dah masak  "
"164","Negatif",-2,"  kenan betullah props pocong  wayang or mall ni kesian budak budak  takut"
"165","Netral",0," just happy     makan minum wayang tgk barang tu jalah kau    daus lolx"
"166","Negatif",-1," wayang haram  "
"167","Negatif",-2,"bernamatv  yg  bongkar isu  dah   dituduh   diistilahkan  mencabar  menyuarakan penafian elok kerajaan  dakwa  mmg  bukti jgn main wayang  rakyat yg kehidupan  sulit"
"168","Netral",0,"pamungkas malam penutupan pekan budaya difabel ngayomi ngayemi  sabtu  hadir pagelaran wayang kulit  lakon gathotkaca winisuda  ki dalang kevin aditama ki kevin aditama   dalang  difabel fisik ne "
"169","Netral",0,"arya  yt histroty nntnnya   burung bengkel storytelling hantu wayang"
"170","Netral",0,"zakishah wayang nk   terpaling  n sibuk  fahmifadzil belajar la tukar mode  mindset pembangkang  pentadbir yg  keje nak  pc pastikan  wakil yg   important calls nmpk mcm poyo terok bro"
"171","Netral",0,"wayang  ahahahahslang jawo laie sodap ehhhh "
"172","Netral",0,"abuwaras aniesbaswedan wayang  dalang "
"173","Positif",1,"tgk wayang pon cantik eh niari"
"174","Netral",0," kerja tengok wayang wakanda forever "
"175","Negatif",-2,"heboh warga geger  tetangganya memiliki anak  mata wayang"
"176","Netral",0,"babinsa desa bedono sertu suroso menghadiri undangan merti dusun karanganyar ds bedono dgn mengadakan pagelaran wayang kulit  dalang ki aditya wahid dgn lakon wahyu katemtreman   bentuk  syukur  tuhan yme  melestarikan tradisi budaya "
"177","Negatif",-1," mmg  mcm ni orang nk  wayang ka  ka lantak la   punca org  senang hati dgn dap selepas lge yg buatkan org x senang dgn dap mcm kat penang cm cky  disenangi  cm  ni "
"178","Negatif",-2,"okey hati hati dijalan rayajangan drive laju laju ye awakjangan nakal nakalawak  kawan pergi ipoh tengok wayang  tu pergi tengok suami awak   baguslah   suka curang  awak  elok awak pergi tengok      awak"
"179","Negatif",-1," kelingan nek due kuku tirex   aksesoris kalung  alat pijat  aksesoris wayang uwong kuku pancanaka wrekudara "
